,walk,no_samples,duration (min)
0,52-1,52450,8.7
1,52-2,46499,7.7
2,78-1,41699,6.9
3,78-2,13799,2.3
4,145-1,57799,9.6
5,145-2,45899,7.6
6,161-1,34300,5.7
7,161-2,30300,5.0
8,161-3,21599,3.6
9,181-2,61099,10.2
10,290-1,49899,8.3
11,290-2,46999,7.8
12,298-1,41800,7.0
13,298-2,32399,5.4
14,314-1,53900,9.0
15,314-2,34599,5.8
16,317-1,37499,6.2
17,339-1,25900,4.3
18,339-2,19499,3.2
19,390-1,21949,3.7
20,390-2,13199,2.2
21,473-1,53099,8.8
22,473-2,43271,7.2
23,481-1,49999,8.3
24,481-2,42599,7.1
25,491-1,208099,34.7
26,491-2,30399,5.1
27,527-1,17999,3.0
28,527-2,19599,3.3
29,733-1,52050,8.7
30,733-2,36350,6.1
31,806-1,39550,6.6
32,806-2,36150,6.0
33,863-1,35848,6.0
34,863-2,30700,5.1
35,896-1,115699,19.3
36,896-2,102699,17.1
37,915-1,51950,8.7
38,915-2,41200,6.9
39,921-1,30699,5.1
40,921-2,17699,2.9
41,929-1,71000,11.8
42,969-1,35899,6.0
43,969-2,37500,6.2
44,988-1,54750,9.1
45,988-2,41332,6.9
